SUPL,PLANT,S.DOCK,COMP,PLANT,DOCK,Production Routing,PART #,T/C FROM(UNL),T/C TO (UNL),PART DESC,Life Cycle Code,Team Member,Model Name,ORD Method,BvsC REF,KBN,QTY /CONT,V.SHARE FLG[SYS L/O DATE BASIS],V.SHARE VALUE,PC DELIV,PC SAFETY,LS DELIV,LS SAFTY,Safety(PCS),Packaging Type,Part PCS Weight(g),PACK QTY/CONT,Latest Physical Inventory DTE & Time,Create User,Create Date Time,Update User,Update Date Time,V.SHARE GROUP
5567,1,   ,807D,4,43,      ,72991VT040C0,20260601,20260604,COVER  FR SEAT CUSHION  RR,0,,874W,1,0,623F,4, ,,0,29,15,42,8,TP363             ,0,4,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,72991VT040C0,20260605,20260630,COVER  FR SEAT CUSHION  RR,0,,874W,1,0,623F,4, ,,0,29,15,42,1,TP363             ,0,4,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,72991VT040C0,20260701,20260731,COVER  FR SEAT CUSHION  RR,0,,874W,1,0,623F,4, ,,0,29,15,42,2,TP363             ,0,4,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,72991VT040C0,20260801,20260831,COVER  FR SEAT CUSHION  RR,0,,874W,1,0,623F,4, ,,0,29,15,28,1,TP363             ,0,4,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,72991VT040C0,20260901,99991231,COVER  FR SEAT CUSHION  RR,0,,874W,1,0,623F,4, ,,0,30,15,30,1,TP363             ,0,4,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,72991VT050C0,20260501,20260531,COVER  FR SEAT CUSHION  RR,0,,874W,1,0,624F,4, ,,0,29,15,42,2,TP363             ,0,4,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,72991VT050C0,20260601,20260604,COVER  FR SEAT CUSHION  RR,0,,874W,1,0,624F,4, ,,0,29,15,42,6,TP363             ,0,4,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,72991VT050C0,20260605,20260731,COVER  FR SEAT CUSHION  RR,0,,874W,1,0,624F,4, ,,0,29,15,42,1,TP363             ,0,4,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,72991VT050C0,20260801,20260831,COVER  FR SEAT CUSHION  RR,0,,874W,1,0,624F,4, ,,0,29,15,28,1,TP363             ,0,4,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,72991VT050C0,20260901,99991231,COVER  FR SEAT CUSHION  RR,0,,874W,1,0,624F,4, ,,0,30,15,30,1,TP363             ,0,4,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5567,1,   ,807D,4,43,      ,72991VT060C0,20260501,20260731,COVER  FR SEAT CUSHION  RR,0,,874W,1,0,625F,4, ,,0,29,15,42,0,TP363             ,0,4,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
